Member,State,Party,Rank
Jodey Arrington,Texas,R,1
Ralph Norman,South Carolina,R,2
Tom McClintock,California,R,3
Glenn Grothman,Wisconsin,R,4
Lloyd Smucker,Pennsylvania,R,5
Michael Burgess,Texas,R,6
Buddy Carter,Georgia,R,7
Ben Cline,Virginia,R,8
Bob Good,Virginia,R,9
Jack Bergman,Michigan,R,10
Chip Roy,Texas,R,11
Blake Moore,Utah,R,12
David Valadao,California,R,13
Ron Estes,Kansas,R,14
Lisa McClain,Michigan,R,15
Michelle Fischbach,Minnesota,R,16
Rudy Yakym,Indiana,R,17
Josh Brecheen,Oklahoma,R,18
Chuck Edwards,North Carolina,R,19
Brendan Boyle,Pennsylvania,D,1
Jan Schakowsky,Illinois,D,2
Earl Blumenauer,Oregon,D,3
Dan Kildee,Michigan,D,4
Scott Peters ,California,D,5
Barbara Lee,California,D,6
Lloyd Doggett,Texas,D,7
Jimmy Panetta,California,D,8
Jennifer Wexton,Virginia,D,9
Sheila Jackson Lee,Texas,D,10
Ilhan Omar,Minnesota,D,11
David Trone,Maryland,D,12
Becca Balint,Vermont,D,13
Bobby Scott,Virginia,D,14
Adriano Espaillat,New York,D,15
Tom Suozzi,New York,D,16
